,0
1636,pardon
1637,seum
1638,tracy
1639,jte
1640,allo
1641,je croyais
1642,qu’on valide notre
1643,générique de wanda
1644,certeins
1645,lea
1646,"coup svp
"
1647,thai
1648,garonne
1649,http://www.cmls.polytechnique.fr/perso/tringali/documents/st_exupery_le_petit_prince.pdf
1650,qui ru
1651,bravo @antoine parize
1652,lespinet
1653,musée*
1654,tupperware
1655,merci @elise cadet
1656,windows j’
1657,ouvre
1658,essaie
1659,affichage d’
1660,bruno
1661,12:40
1662,automatique
1663,alors que
1664,puis
1665,debut
1666,semestre
1667,moins
1668,be
1669,corrections.7z
1670,esrl @simon
1671,deviner
1672,foucaud @margot
1673,foucaud @albane
1674,livraison
1675,nul
1676,jeudi c'
1677,le m blanc sav
1678,4 l bleu marine
1679,2 s
1680,m noir bref on est bon
